2025-09-16 02:10:48.356 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 02:10:48.357 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 02:11:45.267 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 56908ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 02:19:41.912 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 02:19:41.912 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 02:20:41.886 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 59972ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 02:21:18.399 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 02:21:18.400 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 02:22:33.596 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 02:22:33.598 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 02:24:31.473 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 02:24:31.473 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 02:25:54.216 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 82742ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 02:26:56.008 [AWT-EventQueue-0] INFO  level - Level started - Number: 3, Name: Security Systems, Description: Introduce VPN and Anti-trojan systems with confidential packets
2025-09-16 02:28:32.024 [AWT-EventQueue-0] INFO  level - Level completed - Number: 3, Name: Level 3, CompletionTime: 96016ms, PacketsDelivered: 50, PacketLoss: 0, CoinsEarned: 0
2025-09-16 02:29:12.468 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 02:29:12.469 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 02:51:59.314 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 02:51:59.315 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 02:52:14.450 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 02:52:14.451 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 02:53:15.555 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 61103ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 02:53:15.571 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Network Foundation, CompletionTime: 61120ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 129
2025-09-16 02:53:17.415 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 02:54:23.867 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 02:54:23.868 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 02:54:45.018 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 02:54:45.019 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 02:55:34.633 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 02:55:34.633 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 02:56:49.699 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 75065ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 02:56:49.715 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Network Foundation, CompletionTime: 75082ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 115
2025-09-16 02:56:54.345 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 03:06:52.690 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 03:06:52.691 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 03:07:37.955 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 45264ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 03:55:28.611 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 03:55:28.612 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 03:56:20.725 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 52113ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 03:56:23.930 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 03:57:43.184 [AWT-EventQueue-0] INFO  level - Level completed - Number: 2, Name: Level 2, CompletionTime: 79253ms, PacketsDelivered: 40, PacketLoss: 0, CoinsEarned: 0
2025-09-16 03:57:50.531 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 03:57:50.532 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 03:58:32.575 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 42043ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 03:58:48.413 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 03:58:48.413 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 03:59:29.804 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 41391ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 03:59:32.543 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 04:00:32.312 [AWT-EventQueue-0] INFO  level - Level completed - Number: 2, Name: Level 2, CompletionTime: 59768ms, PacketsDelivered: 40, PacketLoss: 0, CoinsEarned: 0
2025-09-16 04:34:53.508 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 04:34:53.509 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 04:36:00.773 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 04:36:00.774 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 04:36:44.418 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 43643ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 04:40:51.138 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 04:40:51.139 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 04:41:38.159 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 47017ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 04:59:43.959 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 04:59:43.960 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 05:00:28.242 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 44280ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 05:00:34.836 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 05:01:05.699 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 05:01:05.700 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 05:01:48.513 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 42811ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 05:01:50.738 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 05:03:03.286 [AWT-EventQueue-0] INFO  level - Level completed - Number: 2, Name: Level 2, CompletionTime: 72547ms, PacketsDelivered: 40, PacketLoss: 0, CoinsEarned: 0
2025-09-16 05:03:52.146 [AWT-EventQueue-0] INFO  level - Level started - Number: 3, Name: Security Systems, Description: Introduce VPN and Anti-trojan systems with confidential packets
2025-09-16 05:05:09.712 [AWT-EventQueue-0] INFO  level - Level completed - Number: 3, Name: Level 3, CompletionTime: 77565ms, PacketsDelivered: 50, PacketLoss: 0, CoinsEarned: 0
2025-09-16 05:05:29.683 [AWT-EventQueue-0] INFO  level - Level started - Number: 4, Name: Heavy Traffic, Description: Handle bulky packets and complex distribution/merge systems
2025-09-16 05:06:43.859 [AWT-EventQueue-0] INFO  level - Level completed - Number: 4, Name: Level 4, CompletionTime: 74175ms, PacketsDelivered: 60, PacketLoss: 0, CoinsEarned: 0
2025-09-16 05:06:47.949 [AWT-EventQueue-0] INFO  level - Level started - Number: 5, Name: Master Challenge, Description: Master all game mechanics with maximum complexity and difficulty
2025-09-16 05:10:43.744 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 05:10:43.746 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 05:11:27.324 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 43573ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 05:13:26.635 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 05:14:46.264 [AWT-EventQueue-0] INFO  level - Level completed - Number: 2, Name: Level 2, CompletionTime: 79628ms, PacketsDelivered: 40, PacketLoss: 0, CoinsEarned: 0
2025-09-16 05:14:50.128 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 05:15:04.861 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
