2025-09-22 14:18:23.554 [AWT-EventQueue-0] INFO  packet - Packet spawned - Type: square, Connection: A->B, ConnectionID: Game.Connection@49613831
2025-09-22 14:18:23.556 [AWT-EventQueue-0] INFO  packet - Packet spawned - Type: triangle, Connection: A->B, ConnectionID: Game.Connection@5c8ce992
2025-09-22 14:18:25.049 [AWT-EventQueue-0] INFO  packet - Packet arrived successfully - ID: Game.Packet@5ee57f0e, Type: triangle, Node: B, TravelTime: 1493ms
2025-09-22 14:18:25.050 [AWT-EventQueue-0] INFO  packet - Packet arrived successfully - ID: Game.Packet@579b8e22, Type: square, Node: B, TravelTime: 1500ms
2025-09-22 14:18:25.050 [AWT-EventQueue-0] INFO  packet - Packet spawned - Type: square, Connection: A->B, ConnectionID: Game.Connection@49613831
2025-09-22 14:18:25.050 [AWT-EventQueue-0] INFO  packet - Packet spawned - Type: triangle, Connection: A->B, ConnectionID: Game.Connection@5c8ce992
2025-09-22 14:18:26.481 [AWT-EventQueue-0] INFO  packet - Packet arrived successfully - ID: Game.Packet@5dcbdaaa, Type: triangle, Node: B, TravelTime: 1431ms
2025-09-22 14:18:26.482 [AWT-EventQueue-0] INFO  packet - Packet arrived successfully - ID: Game.Packet@1e6aeae, Type: square, Node: B, TravelTime: 1432ms
2025-09-22 14:18:26.482 [AWT-EventQueue-0] INFO  packet - Packet arrived successfully - ID: Game.Packet@5ee57f0e, Type: triangle, Node: D, TravelTime: 2926ms
2025-09-22 14:18:26.482 [AWT-EventQueue-0] INFO  packet - Packet arrived successfully - ID: Game.Packet@579b8e22, Type: square, Node: D, TravelTime: 2932ms
2025-09-22 14:18:26.482 [AWT-EventQueue-0] INFO  packet - Packet spawned - Type: square, Connection: A->B, ConnectionID: Game.Connection@49613831
2025-09-22 14:18:26.482 [AWT-EventQueue-0] INFO  packet - Packet spawned - Type: triangle, Connection: A->B, ConnectionID: Game.Connection@5c8ce992
2025-09-22 14:18:27.932 [AWT-EventQueue-0] INFO  packet - Packet arrived successfully - ID: Game.Packet@c7bdec4, Type: triangle, Node: B, TravelTime: 1450ms
2025-09-22 14:18:27.932 [AWT-EventQueue-0] INFO  packet - Packet arrived successfully - ID: Game.Packet@476e8376, Type: square, Node: B, TravelTime: 1450ms
2025-09-22 14:18:27.932 [AWT-EventQueue-0] INFO  packet - Packet arrived successfully - ID: Game.Packet@5ee57f0e, Type: triangle, Node: C, TravelTime: 4376ms
2025-09-22 14:18:27.933 [AWT-EventQueue-0] INFO  packet - Packet arrived successfully - ID: Game.Packet@579b8e22, Type: square, Node: C, TravelTime: 4383ms
